,Data,Temperatura Mínima,Temperatura Máxima
283,1961-10-01,"8,6","26,0"
284,1961-10-02,"13,0","28,8"
285,1961-10-03,"15,2","26,4"
286,1961-10-04,"12,0","24,0"
287,1961-10-05,"13,6","25,0"
288,1961-10-06,"14,2","29,0"
289,1961-10-07,"15,2","29,0"
290,1961-10-08,"13,8","26,8"
291,1961-10-09,"12,6","29,2"
292,1961-10-10,"14,4","21,0"
293,1961-10-11,"13,6","21,4"
294,1961-10-12,"12,4","25,4"
295,1961-10-13,"14,6","26,0"
296,1961-10-14,"13,6","21,0"
297,1961-10-15,"13,2","23,0"
298,1961-10-16,"12,4","19,4"
299,1961-10-17,"13,8","19,2"
300,1961-10-18,"14,8","25,0"
301,1961-10-19,"14,0","23,6"
302,1961-10-20,"15,0","26,4"
303,1961-10-21,"15,0","22,2"
304,1961-10-22,"15,2","24,6"
305,1961-10-23,"12,4","22,8"
306,1961-10-24,"14,4","26,8"
307,1961-10-25,"13,8","24,8"
308,1961-10-26,"12,4","24,2"
309,1961-10-27,"12,8","27,0"
310,1961-10-28,"13,4","25,8"
311,1961-10-29,"14,8","22,4"
312,1961-10-30,"16,0","21,2"
313,1961-10-31,"14,2","19,2"
314,1961-11-01,"15,0","20,2"
315,1961-11-02,-,-
316,1961-11-03,-,-
317,1961-11-04,-,-
318,1961-11-05,"15,0","27,2"
319,1961-11-06,"14,4","24,0"
320,1961-11-07,"12,2","25,4"
321,1961-11-08,"11,0","26,8"
322,1961-11-09,"12,2","26,4"
323,1961-11-10,"12,6","18,6"
324,1961-11-11,"13,4","27,4"
325,1961-11-12,"16,0","25,0"
326,1961-11-13,"14,4","24,8"
327,1961-11-14,"13,0","19,2"
328,1961-11-15,"8,6","23,8"
329,1961-11-16,"10,8","25,0"
330,1961-11-17,"10,0","24,2"
331,1961-11-18,"9,6","27,2"
332,1961-11-19,"15,2","26,8"
333,1961-11-20,"15,8","25,2"
334,1961-11-21,"16,2","24,2"
335,1961-11-22,"15,2","22,0"
336,1961-11-23,"16,6","24,0"
337,1961-11-24,"15,6","25,4"
338,1961-11-25,"16,8","27,2"
339,1961-11-26,"16,8","27,2"
340,1961-11-27,"17,0","26,4"
341,1961-11-28,"16,6","25,4"
342,1961-11-29,"16,8","26,2"
343,1961-11-30,"14,6","29,0"
344,1961-12-01,"19,4","26,8"
345,1961-12-02,"16,8","24,2"
346,1961-12-03,"13,2","26,6"
347,1961-12-04,"13,2","24,2"
348,1961-12-05,"10,6","22,2"
349,1961-12-06,"12,2","21,8"
350,1961-12-07,"12,6","23,0"
351,1961-12-08,"11,4","24,6"
352,1961-12-09,"14,0","27,0"
353,1961-12-10,"16,4","27,6"
354,1961-12-11,"16,4","28,4"
355,1961-12-12,"15,8","28,2"
356,1961-12-13,"15,6","27,0"
357,1961-12-14,"14,4","26,2"
358,1961-12-15,"14,6","25,2"
359,1961-12-16,"16,6","22,0"
360,1961-12-17,"17,6","25,4"
361,1961-12-18,"16,2","28,8"
362,1961-12-19,"17,4","26,2"
363,1961-12-20,"16,0","26,0"
364,1961-12-21,"17,2","25,8"
365,1961-12-22,"17,4","26,8"
366,1961-12-23,"16,4","23,2"
367,1961-12-24,"15,2","25,0"
368,1961-12-25,"16,4","28,0"
369,1961-12-26,"16,0","26,8"
370,1961-12-27,"15,8","26,0"
371,1961-12-28,"15,2","26,2"
372,1961-12-29,"16,6","25,4"
373,1961-12-30,"13,6","26,0"
374,1961-12-31,"13,2","24,6"
375,1962-01-01,"13,0","22,4"
376,1962-01-02,"13,2","21,2"
377,1962-01-03,"14,6","22,8"
378,1962-01-04,"11,2","26,8"
379,1962-01-05,"13,8","27,4"
380,1962-01-06,"14,6","29,6"
381,1962-01-07,"17,0","24,2"
382,1962-01-08,"14,8","26,2"
383,1962-01-09,"16,4","27,4"
384,1962-01-10,"16,6","28,6"
385,1962-01-11,"15,4","27,4"
386,1962-01-12,"17,2","26,4"
387,1962-01-13,"16,2","28,0"
388,1962-01-14,"16,2","26,8"
389,1962-01-15,"14,2","24,2"
390,1962-01-16,"12,2","21,0"
391,1962-01-17,"12,4","24,0"
392,1962-01-18,"13,8","24,0"
393,1962-01-19,"16,0","26,0"
394,1962-01-20,"14,4","25,0"
395,1962-01-21,"12,6","25,2"
396,1962-01-22,"15,2","27,4"
397,1962-01-23,"17,0","23,0"
398,1962-01-24,"16,6","25,0"
399,1962-01-25,"17,6","26,4"
400,1962-01-26,"14,0","23,2"
401,1962-01-27,"13,0","23,8"
402,1962-01-28,"10,8","24,6"
403,1962-01-29,"12,6","26,6"
404,1962-01-30,"14,2","24,4"
405,1962-01-31,"13,8","26,0"
406,1962-02-01,-,-
407,1962-02-02,-,-
408,1962-02-03,-,-
409,1962-02-04,-,-
410,1962-02-05,-,-
411,1962-02-06,-,-
412,1962-02-07,-,-
413,1962-02-08,-,-
414,1962-02-09,-,-
415,1962-02-10,-,-
416,1962-02-11,-,-
417,1962-02-12,-,-
418,1962-02-13,-,-
419,1962-02-14,-,-
420,1962-02-15,-,-
421,1962-02-16,-,-
422,1962-02-17,-,-
423,1962-02-18,-,-
424,1962-02-19,-,-
425,1962-02-20,-,-
426,1962-02-21,-,-
427,1962-02-22,-,-
428,1962-02-23,-,-
429,1962-02-24,-,-
430,1962-02-25,-,-
431,1962-02-26,-,-
432,1962-02-27,-,-
433,1962-02-28,-,-
434,1962-03-01,-,-
435,1962-03-02,"15,2","24,6"
436,1962-03-03,"15,6","27,0"
437,1962-03-04,"16,8","23,4"
438,1962-03-05,"16,6","24,0"
439,1962-03-06,"16,8","25,0"
440,1962-03-07,"14,2","28,0"
441,1962-03-08,"15,0","28,2"
442,1962-03-09,"15,0","26,4"
443,1962-03-10,"17,0","22,2"
444,1962-03-11,-,-
445,1962-03-12,"12,2","20,0"
446,1962-03-13,"12,2","20,2"
447,1962-03-14,"15,2","20,4"
448,1962-03-15,"13,4","21,8"
449,1962-03-16,"13,6","19,6"
450,1962-03-17,"12,8","25,4"
451,1962-03-18,"17,0","25,8"
452,1962-03-19,"14,6","24,8"
453,1962-03-20,"13,6","23,2"
454,1962-03-21,"12,4","26,0"
455,1962-03-22,"13,6","27,2"
456,1962-03-23,"13,4","27,0"
457,1962-03-24,"15,8","28,2"
458,1962-03-25,"16,4","28,0"
459,1962-03-26,"17,0","27,4"
460,1962-03-27,"17,0","27,4"
461,1962-03-28,"16,6","28,0"
462,1962-03-29,"15,8","28,2"
463,1962-03-30,"14,0","27,4"
464,1962-03-31,"15,2","28,6"
465,1962-04-01,"16,0","28,0"
466,1962-04-02,"16,8","27,2"
467,1962-04-03,"16,0","27,2"
468,1962-04-04,"14,6","23,4"
469,1962-04-05,"13,6","26,2"
470,1962-04-06,"13,8","27,6"
471,1962-04-07,"13,0","26,8"
472,1962-04-08,"16,6","24,6"
473,1962-04-09,"9,2","17,0"
474,1962-04-10,"4,6","18,6"
475,1962-04-11,"8,0","20,4"
476,1962-04-12,"9,0","23,4"
477,1962-04-13,"9,6","24,4"
478,1962-04-14,"11,0","24,8"
479,1962-04-15,"12,4","23,4"
480,1962-04-16,"15,2","20,0"
481,1962-04-17,"14,6","23,4"
482,1962-04-18,"15,6","24,4"
483,1962-04-19,"14,4","23,0"
484,1962-04-20,"13,4","25,4"
485,1962-04-21,"11,8","24,2"
486,1962-04-22,"11,2","23,8"
487,1962-04-23,"10,8","22,6"
488,1962-04-24,"13,2","21,0"
489,1962-04-25,"12,6","17,8"
490,1962-04-26,"10,8","18,2"
491,1962-04-27,"4,0","18,2"
492,1962-04-28,"5,2","14,2"
493,1962-04-29,"8,0","14,2"
494,1962-04-30,"10,2","18,8"
495,1962-05-01,"13,0","21,6"
496,1962-05-02,"15,8","21,4"
497,1962-05-03,"11,6","19,6"
498,1962-05-04,"2,6","19,2"
499,1962-05-05,"3,4","19,8"
500,1962-05-06,"6,0","20,6"
501,1962-05-07,"4,6","19,9"
502,1962-05-08,"4,8","16,6"
503,1962-05-09,"7,2","17,4"
504,1962-05-10,"8,6","20,0"
505,1962-05-11,"9,0","17,0"
