,Data,Temperatura Mínima,Temperatura Máxima,"('Data', 'Temperatura mínima', 'Temperatura máxima')"
364,1961-12-20,22.2,32.3,1961-12-20
365,1961-12-21,22.7,28.7,1961-12-21
366,1961-12-22,21.5,30.4,1961-12-22
367,1961-12-23,21.8,27.1,1961-12-23
368,1961-12-24,22.1,31.9,1961-12-24
369,1961-12-25,22.0,29.2,1961-12-25
370,1961-12-26,21.3,30.8,1961-12-26
371,1961-12-27,22.0,30.9,1961-12-27
372,1961-12-28,22.8,32.0,1961-12-28
373,1961-12-29,22.7,31.8,1961-12-29
374,1961-12-30,23.1,30.8,1961-12-30
375,1961-12-31,23.3,27.5,1961-12-31
376,1962-01-01,21.5,29.7,1962-01-01
377,1962-01-02,22.8,29.8,1962-01-02
378,1962-01-03,22.6,30.8,1962-01-03
379,1962-01-04,22.8,31.7,1962-01-04
380,1962-01-05,23.2,30.7,1962-01-05
381,1962-01-06,22.9,28.3,1962-01-06
382,1962-01-07,22.4,30.4,1962-01-07
383,1962-01-08,23.3,31.2,1962-01-08
384,1962-01-09,21.7,25.7,1962-01-09
385,1962-01-10,20.7,31.7,1962-01-10
386,1962-01-11,22.1,32.7,1962-01-11
387,1962-01-12,22.2,32.2,1962-01-12
388,1962-01-13,22.2,32.4,1962-01-13
389,1962-01-14,22.3,33.3,1962-01-14
390,1962-01-15,22.7,31.7,1962-01-15
391,1962-01-16,24.0,33.0,1962-01-16
392,1962-01-17,20.3,29.5,1962-01-17
393,1962-01-18,23.0,29.2,1962-01-18
394,1962-01-19,20.9,32.0,1962-01-19
395,1962-01-20,21.9,30.2,1962-01-20
396,1962-01-21,22.4,30.6,1962-01-21
397,1962-01-22,22.7,31.7,1962-01-22
398,1962-01-23,22.2,32.1,1962-01-23
399,1962-01-24,23.0,31.3,1962-01-24
400,1962-01-25,21.0,29.8,1962-01-25
401,1962-01-26,21.8,31.2,1962-01-26
402,1962-01-27,22.8,31.3,1962-01-27
403,1962-01-28,23.6,30.5,1962-01-28
404,1962-01-29,23.2,32.6,1962-01-29
405,1962-01-30,23.7,32.3,1962-01-30
406,1962-01-31,22.9,31.6,1962-01-31
407,1962-02-01,23.0,31.7,1962-02-01
408,1962-02-02,22.3,32.2,1962-02-02
409,1962-02-03,24.3,31.9,1962-02-03
410,1962-02-04,23.6,31.9,1962-02-04
411,1962-02-05,23.5,29.2,1962-02-05
412,1962-02-06,22.5,28.8,1962-02-06
413,1962-02-07,22.3,26.3,1962-02-07
414,1962-02-08,22.2,29.1,1962-02-08
415,1962-02-09,22.3,30.0,1962-02-09
416,1962-02-10,21.7,27.3,1962-02-10
417,1962-02-11,21.9,32.0,1962-02-11
418,1962-02-12,22.9,32.2,1962-02-12
419,1962-02-13,21.7,26.8,1962-02-13
420,1962-02-14,21.0,29.9,1962-02-14
421,1962-02-15,21.7,30.7,1962-02-15
422,1962-02-16,21.9,32.2,1962-02-16
423,1962-02-17,22.6,30.7,1962-02-17
424,1962-02-18,23.0,29.0,1962-02-18
425,1962-02-19,22.1,31.1,1962-02-19
426,1962-02-20,22.1,31.2,1962-02-20
427,1962-02-21,21.5,31.4,1962-02-21
428,1962-02-22,22.7,30.6,1962-02-22
429,1962-02-23,22.1,30.5,1962-02-23
430,1962-02-24,23.5,30.0,1962-02-24
431,1962-02-25,23.0,31.3,1962-02-25
432,1962-02-26,22.2,32.1,1962-02-26
433,1962-02-27,23.3,31.5,1962-02-27
434,1962-02-28,23.5,27.4,1962-02-28
435,1962-03-01,23.2,27.1,1962-03-01
436,1962-03-02,22.7,30.0,1962-03-02
437,1962-03-03,21.2,31.6,1962-03-03
438,1962-03-04,22.3,32.1,1962-03-04
439,1962-03-05,23.9,32.0,1962-03-05
440,1962-03-06,23.5,33.5,1962-03-06
441,1962-03-07,23.8,31.0,1962-03-07
442,1962-03-08,22.3,29.3,1962-03-08
443,1962-03-09,20.9,32.2,1962-03-09
444,1962-03-10,22.9,33.8,1962-03-10
445,1962-03-11,23.7,28.8,1962-03-11
446,1962-03-12,22.7,29.8,1962-03-12
447,1962-03-13,22.8,32.1,1962-03-13
448,1962-03-14,21.8,29.7,1962-03-14
449,1962-03-15,23.1,29.1,1962-03-15
450,1962-03-16,22.3,29.7,1962-03-16
451,1962-03-17,22.5,31.1,1962-03-17
452,1962-03-18,22.7,31.0,1962-03-18
